"url, title, page_address, status, meter, total, finish_date"
"親を亡くした子どもたちへ 心の支えとなるような童話を贈りたい,/projects/932,プロジェクトが成立しました！,108%,542000,3月11日"
"「ふれあいプレイランド」オリジナルの着ぐるみを作る,/projects/978,プロジェクトが成立しました！,100%,500000,3月10日"
"復興情報誌FORTUNE宮城vol.8を発行したい！,/projects/FORTUNE-MIYAGI,プロジェクトが成立しました！,109%,547000,3月10日"
"ボーイスカウトのバングラデシュ支援・プロジェクト,/projects/scouts_japan_bangladesh,プロジェクトが成立しました！,113%,226000,3月10日"
"北海道夕張市の子どもたちへもう一度本でいっぱいの図書館を届けたい！,/projects/yuubari-mintosho,プロジェクトが成立しました！,108%,1944000,3月8日"
"奈良で開催された芸術祭を映画にして残したい！,/projects/hanarart,プロジェクトが成立しました！,115%,576000,3月6日"
"沖縄の離島から15歳で旅立つ子ども達と語り愛！夢を創る！,/projects/gakuseiplus,プロジェクトが成立しました！,141%,496000,3月6日"
"夕張市に力を！ゆうばり映画祭に参加して地域振興に貢献したい。,/projects/1004,プロジェクトが成立しました！,102%,256000,3月6日"
"ハーバード大学の学生に“生の”日本を紹介したい！！！,/projects/japantrip2014,プロジェクトが成立しました！,130%,391000,3月4日"
"廃車になったブルートレインを岩手県岩泉に届けたい、一口車掌募集中！,/projects/BLUETRAIN,プロジェクトが成立しました！,103%,2065000,3月4日"
"東日本大震災で被災した海浜で植生の回復に取り組みたい！,/projects/satohama,プロジェクトが成立しました！,129%,388000,3月3日"
"視覚障がい者ランナーみっちゃんと伴走者をロンドンマラソンへ！,/projects/1103,プロジェクトが成立しました！,266%,1332000,3月2日"
"地域のおいしい物と出会う、島鉄ごちそうトレインを走らせたい！,/projects/1167,プロジェクトが成立しました！,103%,515000,3月2日"
"福島の子どもたちの現状を世界に伝える短編映像をつくりたい！,/projects/FukushimaKidsMovie,プロジェクトが成立しました！,141%,425000,3月2日"
"「ウェブコンサルタントになるには」セミナーを開催,/projects/web_naru001,プロジェクトが成立しました！,114%,1145000,2月28日"
"民間図書館らしい企画を生み続けた船橋北口図書館を助けて下さい！,/projects/fng-lib,プロジェクトが成立しました！,109%,1644000,2月28日"
"カナダに流れ着いた東日本大震災の漂着物を日本に持ち帰りたい!,/projects/ai-tsunagu-project,プロジェクトが成立しました！,108%,2161000,2月28日"
"障害のある人たちとパフォーミングアーツの制作･発表をしたい！,/projects/lifemap,プロジェクトが成立しました！,108%,1082000,2月27日"
"ハーバード社会起業大会スタディプログラムに行く若者に投資を！,/projects/WORLDSTUDY,プロジェクトが成立しました！,108%,541000,2月26日"
"石巻牡鹿半島福貴浦の殻付牡蠣を販売するかき小屋を作ります,/projects/907,プロジェクトが成立しました！,109%,1314000,2月26日"
"高校生の希望ある未来の実現「気仙沼みらい創造カレッジ」,/projects/kmcproject,プロジェクトが成立しました！,112%,788000,2月25日"
"日本で一番自慢したくなる『安芸の宮島』の魅力紹介サイトを作る,/projects/Are_Bra,プロジェクトが成立しました！,100%,400000,2月24日"
"石巻の子供達に、働き続けるためのIT技術を学ぶ場を作りたい,/projects/itnav_1107,プロジェクトが成立しました！,126%,3796000,2月23日"
"移動式遊具をつくって石巻のまちの中に子どもの居場所をつくろう,/projects/ishinomaki_20,プロジェクトが成立しました！,102%,3076000,2月23日"
"被災地の高校生の歌声をNYから世界へ！復興への感謝を届ける,/projects/handinhand,プロジェクトが成立しました！,109%,1099000,2月23日"
"音楽劇を通して「命の大切さ」「動物のきもち」を子供達の心に響かせる♪,/projects/myu-maru,プロジェクトが成立しました！,111%,333000,2月22日"
"日本映画界が世界に誇る小津作品を未来に残す。,/projects/ozu_remastering,プロジェクトが成立しました！,121%,6051000,2月20日"
"空から眺める世界遺産「三保の松原」 地元の魅力を伝えたい！,/projects/mihonomatsubara-kikyu,プロジェクトが成立しました！,106%,320000,2月20日"
"バングラデシュと日本の子ども達の、心と心を繋ぐ交流プロジェクト！,/projects/sister_school_project,プロジェクトが成立しました！,103%,671000,2月18日"
"東京三鷹地域に住む外国籍生徒のための進学基金をつくりたい,/projects/shingakukikin,プロジェクトが成立しました！,156%,625000,2月17日"
"新規就農者が新規就農者を育てる！農業の担い手育成プロジェクト,/projects/oshitani-farm,プロジェクトが成立しました！,120%,241000,2月15日"
"震災から3年目の春。『先祖になる』を仙台で見て考える一日に！,/projects/416jishujohei,プロジェクトが成立しました！,100%,599000,2月15日"
"バングラデシュに農業革命を！最高の教育を農家たちにも届けよう,/projects/e-Farming,プロジェクトが成立しました！,126%,1263000,2月15日"
"東北３県で高校生が小学生とえほんワークショップを開催します！,/projects/booklike,プロジェクトが成立しました！,222%,222000,2月14日"
"京都発のジャズと仏教音楽である声明のコラボレーション公演をパリに届けたい！,/projects/jiailove,プロジェクトが成立しました！,114%,1031000,2月13日"
"不登校や過疎地の子ども達へ、格差のない学びを届けたい！！,/projects/eboard,プロジェクトが成立しました！,152%,1520000,2月11日"
"未来をつくる若者を生み出す!日本を創り継ぐプロジェクト開催,/projects/tsukutsugu4th,プロジェクトが成立しました！,105%,631000,2月10日"
"自然エネルギーを日本から！いとしま電力研究所設立をご支援下さい！,/projects/startup-itoden,プロジェクトが成立しました！,108%,2178000,2月10日"
"地雷の国カンボジアを薬草の国へ！ 小学校に薬草園を作って村を救いたい！,/projects/medicinal-plants_cambodia,プロジェクトが成立しました！,144%,770000,2月8日"
"母になった「伝説のスピーチ」のセヴァンさん来日ツアーを開催！,/projects/sev2014,プロジェクトが成立しました！,109%,1090000,2月7日"
"「ありがとうファーム」に笑顔が集まる研修所をつくりたい♪,/projects/783,プロジェクトが成立しました！,103%,310000,2月7日"
"山形庄内で東北初「東電テレビ会議４９時間の記録」を上映します,/projects/toden49shonai,プロジェクトが成立しました！,105%,295000,2月7日"
"超高齢化する「これから」を、多世代で話す場をつくりたい！,/projects/donnerlemot,プロジェクトが成立しました！,115%,462000,1月31日"
"女の子だけが発症する難病「レット症候群」を知ってもらう本3000部を出版したい！,/projects/rett,プロジェクトが成立しました！,105%,2324000,1月29日"
"復興チャリティに参加できるかいじゅうART展を開催したい！,/projects/MONSTERExhibition,プロジェクトが成立しました！,114%,1147000,1月28日"
"ボカジャズCDを制作して、多くの人にジャズを楽しんでほしい！,/projects/lowlandjazz,プロジェクトが成立しました！,119%,839000,1月28日"
"復興を応援！三陸牡蠣ノボリ1000本を全国のお店に立てたい,/projects/sanrikukaki,プロジェクトが成立しました！,109%,988000,1月26日"
"お母さんの夢をのせた「ハッピーアイストラック」を走らせたい！,/projects/happyice,プロジェクトが成立しました！,146%,1175000,1月25日"
