"title, page_address, curated_page, category, owner, rest, patron, meter, total"
"浅見帆帆子と世界へ愛を広げよう！海外電子書籍プロジェクト2014,http://greenfunding.jp/miraibooks/projects/698,ミライブックスファンド,出版,浅見帆帆子,終了,172,130,4293300"
"ラジオ業界初!? 詩人の冠番組を1ヶ月オンエア！菅原敏の「詩人天気予報」,http://greenfunding.jp/projectroom/projects/673,bayfm78,その他,bayfm事業開発部,終了,67,110,1646000"
"クラシックギタリスト村治奏一、アルバム『SPARKS』制作プロジェクト,http://greenfunding.jp/lab/projects/667,GREEN FUNDING Lab,音楽,村治 奏一,終了,67,211,843000"
"「椅子の正座」世界普及プロジェクト,http://greenfunding.jp/changemaker/projects/590,社会起業大学,社会貢献,碓田　拓磨,終了,43,106,1055000"
"柳亜里からのLOVE LETTER〜絵・アクセサリー・服からつくる映像作品,http://greenfunding.jp/tdc/projects/687,伊勢丹×装苑,ファッション,IPn"
"2/16富松VS魅津希戦にタオル応援を導入する！,http://greenfunding.jp/allez-japan/projects/691,ALLEZ! japan,スポーツ,DEEPジュエルス,終了,21,114,206000"
"パンナム選手権(LA)参戦！世界戦へのステップ！,http://greenfunding.jp/allez-japan/projects/690,ALLEZ! japan,スポーツ,大塚博明"
"美容のチカラで笑顔あふれる毎日をお届けする！コミュニティサロン と和,http://greenfunding.jp/changemaker/projects/688,社会起業大学,社会貢献,小池 由貴子,終了,83,101,2026000"
"一本歯下駄GETTA参上,http://greenfunding.jp/miraifes/projects/686,デジタルメディア研究所,スポーツ,宮崎要輔"
"日本人初！世界最高峰のレースに挑戦！,http://greenfunding.jp/allez-japan/projects/683,ALLEZ! japan,スポーツ,戸取大樹(ローラースケート/スピード競技),終了,10,100,60000"
"世界最大パリのランジェリー見本市で、日本独自の美しく繊細な感性を伝えたい！,http://greenfunding.jp/greengirl/projects/674,GREEN GIRL,ファッション,たけすえあさこ,終了,16,222,111000"
"ISRATECH講演会〜ハイテク先進国イスラエルの最新動向を解説〜,http://greenfunding.jp/miraifes/projects/680,デジタルメディア研究所,テクノロジー,ISRATECH"
"「森を見る力」（橘川幸夫・晶文社）出版記念会＆未来フェスCFスタートアップ・パーティ,http://greenfunding.jp/miraifes/projects/655,デジタルメディア研究所,出版,橘川幸夫,終了,84,139,1113734"
"グアム・サイパン遠征補助費 サポート募集！,http://greenfunding.jp/allez-japan/projects/668,ALLEZ! japan,スポーツ,村上めぐみ,終了,29,115,150000"
"日本ミステリーの源流・島田荘司がミステリーの真髄を描く。映画「幻肢」製作プロジェクト,http://greenfunding.jp/lab/projects/666,GREEN FUNDING Lab,映像・映画,島田荘司映画製作委員会,終了,123,102,3068000"
"ミャンマーで戦うサッカー選手・吉野一基の挑戦！ミャンマー・東北支援イベントの開催！,https://cf.sportie.jp/sportie/projects/661,Sports IT Solution,スポーツ,吉野一基"
"韓国文学をもっと日本へ広めたい！ファン・インスク『野良猫姫』出版プロジェクト,http://greenfunding.jp/miraibooks/projects/663,ミライブックスファンド,出版,株式会社クオン,終了,51,105,525500"
"ランサーズがフリーランスのリアルライフスタイル本を出版！,http://greenfunding.jp/miraibooks/projects/650,ミライブックスファンド,出版,Lancers(ランサーズ),終了,82,103,3076000"
"TAKURAMI PROJECT ー女のタクラミを集めたwebサイトを作り、社会にタクラミを増やしたい,http://greenfunding.jp/greengirl/projects/659,GREEN GIRL,アート,タクラミプロジェクト"
"新たな社会起業家の門出を応援！ソーシャルビジネスグランプリ2014冬　WEB投票プロジェクト,http://greenfunding.jp/changemaker/projects/664,社会起業大学,社会貢献,社会起業大学　運営事務局,終了,101,101,50500"
"格之進・牛1頭解体ショー第二弾！赤身肉の王様「シンタマ」編を開催したい！,http://greenfunding.jp/tokyo-calendar/projects/652,東京カレンダー,フード,格之進,終了,21,101,303200"
"フットサルを盛り上げる！フリーペーパー『Green』 復活号！,https://cf.sportie.jp/sportie/projects/277,Sports IT Solution,スポーツ,Green 垣本右近,終了,31,100,200500"
"プロバドミントン選手「池田信太郎」がBWF世界ツアー2014シリーズへ挑戦！,https://cf.sportie.jp/sportie/projects/646,Sports IT Solution,スポーツ,池田信太郎,終了,131,503,2515500"
"2014年の飛躍のために！オセアニア遠征,http://greenfunding.jp/allez-japan/projects/645,ALLEZ! japan,スポーツ,高田和樹"
