title, page_address, owner, category, total, meter, patron, rest
みんなで1/12サイズのミニチュアチェアを49種類復活させよう!プロジェクト第1弾,/project/miniaturechair/,レアック・ジャパン株式会社,プロダクト,free goal,,7人,終了
CDショップ大賞2014サポーター二次募集！授賞式＆ライブ前列優先ご招待,/project/cdshopsecond/,CDショップ大賞事務局,音楽,1400000,,117人,終了
自分のまちは自分たちで作りたい！〜住民の手でつくる集会所プロジェクト〜,/project/kumiki/,阿部貞男,地域活性化,1035507,,40人,終了
Japan Dayに参加して震災復興のためのファンドレイジングをしたい！,/project/japanday/,義澤真衣,社会貢献,30000,,3人,終了
女子大生が始めた美容師向けサービス【Coupe簡単サロモハント】の支援を大募集,/project/coupe/,Coupe竹村恵美・渡部愛子,スタートアップ,278005,,34人,終了
ゆとり世代があなたの夢を叶える！野音 ROCK FESTIVAL～人類みな兄弟～,/project/yaon/,ヤマノタケシ,音楽,75000,,7人,終了
和歌山を舞台にした映画「ねこにみかん」を多くの人に届けよう！,/project/nekonimikan/,戸田彬弘,映画・映像,1675500,335%,128人,終了
日本発の月面探査！サポーターズクラブで一緒に月面を目指しませんか？,/project/hakuto/,ハクト／Hakuto,テクノロジー,free goal,,110人,終了
オトメライブ第三弾!『十鬼の絆 〜関ヶ原奇譚〜 恋舞』を盛り上げよう！,/project/tokinokizuna/,十鬼の絆～関ヶ原奇譚～恋舞 製作委員会,演劇・パフォーマンス・ダンス,free goal,,51人,終了
世界に挑戦する日本人アスリートを応援！〜フィンスイミング長谷川雄太の挑戦〜,/project/hasegawayuuta/,長谷川雄太,スポーツ,free goal,,4人,なし
起業を目指すあなたを応援します！週末起業ドリームサミット,/project/dreamsummit/,新井一,スタートアップ,300000,100%,12人,終了
「月野さんのギター」映画化プロジェクト,/project/tsukinosan/,寒竹泉美,映画・映像,1808034,180%,115人,終了
秘境の森づくりプロジェクト～九州のマチュピチュ　宮崎県諸塚村～,/project/moretrees/,一般社団法人more trees,地域活性化,477000,159%,39人,終了
純粋で自由な音楽賞を皆様の手で！｢第６回CDショップ大賞2014｣サポーター募集,/project/cdshop/,CDショップ大賞事務局,音楽,free goal,,42人,終了
【１着オーナー募集】衣装不足のサンタさんを助ける衣装製作プロジェクトinネパール,/project/charitysanta/,KiyosukeSanta,社会貢献,1640927,,167人,終了
コロンビアのスラム街と世界を繋ぎ、教育と情報発信の改革で貧困を救う,/project/columbia/,田中優樹,教育,270000,108%,33人,終了
PlayStation®Vitaゲーム開発プロジェクト「Airship Q」,/project/airshipq/,株式会社ミラクルポジティブ,ゲーム,1267000,,124人,終了
日本酒4000本を海底へ　\r\n「海中熟成酒」プロジェクト始動！,/project/kaiteijyukusei/,上野伸弘,プロダクト,505101,101%,16人,終了
世界で話題の組み立て式ロボット「RAPIRO (ラピロ)」のさらなる世界展開プロジェクト!,/project/rapiro/,Shota　Ishiwatari,プロダクト,5669000,188%,142人,終了
植樹の神様・宮脇昭氏がいよいよ福島へ　\r\n１０月６日南相馬市植樹祭撮影プロジェクト,/project/powerofforest/,『パワー・オブ・フォレスト』　製作委員会,社会貢献,820000,102%,17人,終了
北海道「十勝」が舞台の映画を制作、知られざる魅力を世界に発信して地域貢献したい！,/project/tokachimovie/,ワイガヤ十勝,映画・映像,2166111,108%,123人,終了
ラバーガール飛永がメインMCを務めるドキュメントバラエティ番組にもっと予算を！,/project/rubbergirl/,ラバーガール飛永,お笑い・エンターテイメント,628000,104%,31人,終了
川島永嗣が世界に挑戦する日本人アスリートを応援!グローバルアスリートプロジェクト!!,/project/globalathlete/,川島永嗣,スポーツ,1768111,176%,100人,終了
世界に挑戦する日本人アスリートを応援！〜パラリンピックサッカー谷口泰成の挑戦〜,/project/taniguchitaisei/,谷口泰成,スポーツ,free goal,,9人,なし
