"title, page_address, owner, category, status, patron, total, rest"
"「ART×公開空地 －都市に介入するアート・コンペティション－」グランプリ受賞作品『...,/projects/ekimaelove,関川 航平,アート,FUNDED!,28,133000,終了14年03月11日"
"「神視る女（ひと）」制作費用サポートを御願いします。,/projects/KAMI-MIRU-HITO,松浦 真史,映画,,10,101000,残り38日"
"中性的な女性だけの劇団Knoq Eu downの旗揚げ公演『シュバイツァー』を応援し...,/projects/schweitzer,Knoq Eu...,演劇・ダンス,,0,3000,残り8日"
"シンガーソングライター山根万理奈のニューアルバムを制作します,/projects/yamanemarina,BURGER ...,音楽,FUNDED!,202,3456000,終了14年03月01日"
"HiroshimaからFukushima　肥田舜太郎医師95歳の肖像\r\n内部被曝の告...,/projects/doctor-hida,山本 顕一,映画,FUNDED!,297,3576600,終了13年10月02日"
"「にっぽんももたんプロジェクト」で、日本のおみやげを世界の「OMIYAGE」に！,/projects/momotan,ナショナルデパート,フード,FUNDED!,115,1890000,終了14年02月28日"
"世界記録に挑戦！！～シードアートで世界一の武者絵～,/projects/seedart2014,大和田 祥亘,アート,NOT FUNDED!"
"KYOTO大道芸祭2014～京都初のプロによる大道芸フェスティバルを開催！！～,/projects/kyotofes2014,関西パフォーマ...,パフォーマンス,,15,47100,残り3日"
"葛飾ご当地ヒーロー「仮面の守護者ゼロング」のテレビ番組制作費を応援してください！,/projects/zerongood-morning,ゼロングプロモ...,コミュニティ,,7,161000,残り13日"
"映画「ねぼけ」ロケ費用サポートして下さい！（宮崎・海のシーン＆落語の寄席シーン）,/projects/neboke,映画「ねぼけ」...,映画,FUNDED!,119,1915501,終了14年02月17日"
"アプリ「UDトーク」の追加開発＆マルチプラットフォーム化費用,/projects/udtalk,青木 秀仁,テクノロジー,,3,30000,残り97日"
"人間の精神と愛の極限を描く映画『ジェラシー／Jealousy』の製作にご協力ください！！,/projects/jealousy_movie,山本俊輔 YA...,映画,FUNDED!,65,531000,終了14年02月17日"
"東京国際映画祭『スペシャル・メンション』受賞！映画「祖谷物語－おくのひと－」全国公開...,/projects/nikonikofilm,蔦 哲一朗,映画,FUNDED!,61,820077,終了14年02月11日"
"MobileBAR　〜 話百回、茶十回、酒一回 〜,/projects/MobileBAR,Takashi...,コミュニティ,FUNDED!,7,38000,終了14年03月12日"
"フィリピン レイテ島 台風被害 復興支援プロジェクト,/projects/fiwc-philippines,FIWC関東 ...,コミュニティ,FUNDED!,9,135000,終了14年03月11日"
"香川県発！外国人と地元日本人のための英語で生活情報番組配信！,/projects/sanuk-english,Sanuk-E...,コミュニティ,FUNDED!,5,24000,終了14年04月08日"
"「Junk Head 1」の続編「 Junk Head 2」制作支援のお願い。,/projects/yamiken,堀 貴秀,映画,NOT FUNDED!"
"やなせたかしさんのアニメ映画をカンボジアの電気がない地域に住む子ども達に届けたい,/projects/CATiC,カンボジアに映...,映画,FUNDED!,89,960960,終了14年03月18日"
"日本にも演劇が必要であることを広く伝えたい！　劇団山の手事情社の海外公演映像化プロジェクト,/projects/yamanote,劇団山の手事情社,演劇・ダンス,FUNDED!,77,415000,終了14年03月18日"
"身体の映画作家・岩名雅記\r\n「シャルロット／すさび」の製作資金をサポートして下さい,/projects/susabichar,岩名雅記,映画,FUNDED!,112,1303000,終了14年01月29日"
"名古屋の学生中心企画！大型劇場上映プロジェクト：映画「女の子ごっこ」,/projects/girlsplay-movie,映像によるまちづくり,映画,FUNDED!,11,45000,終了14年03月04日"
"『緑川静香』1st写真集作成プロジェクト,/projects/shizukamidorikawa,しーたん,本,FUNDED!,61,921000,終了14年01月25日"
"お芝居をもっと身近に！仕事帰りにフラッと寄れる演劇企画にご支援ください！,/projects/the6button-gekiuma,Hitomi ...,演劇・ダンス,,3,16000,残り6日"
"渋谷から若き映像作家を生み出そう！「シブヤのツウ子」短編映画制作プロジェクト,/projects/bokenbachan,代表　青山大蔵,映画,FUNDED!,43,223600,終了14年01月20日"
"TABシールドV2.0 試作＆量産プロジェクト,/projects/tab_shieldv2,株式会社タブレイン,テクノロジー,FUNDED!,26,247500,終了14年02月10日"
"野良——飼い馴らされない表現のフェスティバル——,/projects/nora211,手塚 夏子,パフォーマンス,FUNDED!,8,38000,終了14年03月01日"
"日本の誇る魂を世界へ・新時代劇映画『ギヤマンの刀』プロジェクト,/projects/crystal-sword,北 宗羽介,映画,FUNDED!,6,46000,終了14年03月19日"
"在仏アーティスト日本ツアー 「ブレミン」（舞踏+テルミン）の実行資金支援を求む,/projects/buremine,石場 惇史,演劇・ダンス,FUNDED!,22,109000,終了14年04月01日"
"『BELLRING少女ハート六次元ギャラクシー』応援プロジェクト,/projects/brsh-movie,TRASH-UP!!,映画,FUNDED!,150,3468777,終了14年01月11日"
"映画「ご近所のぜいたく空間・銭湯」〜銭湯アーカイブと活動のドキュメンタリー〜,/projects/bunkyoyouth2013sento,文京建築会ユース,映画,FUNDED!,92,1219055,終了14年01月08日"
"ドラマ「深夜の用心棒」 第二弾制作プロジェクト,/projects/shinyanoyoujinbou,山内 義文,映画,FUNDED!,30,185000,終了14年04月01日"
"東京国際映画祭コンペティション部門出品決定！主演・二階堂ふみ/監督・深田晃司/プロデ...,/projects/sakukofilm,和エンタテインメント,映画,FUNDED!,58,882000,終了14年01月01日"
"ふとんで年越しプロジェクト～誰もが暖かく年を越せるように～,/projects/futon-toshikoshi,ふとんで年越し...,コミュニティ,FUNDED!,165,1273611,終了13年12月27日"
"千の仏顔を作る『三十三間堂プロジェクト』集大成の展覧会開催をご支援ください！,/projects/33project,TETTA,アート,FUNDED!,83,535168,終了13年12月26日"
"若手邦楽アーティストによるライブイベント「俺ふぇす。」第４回開催決定！新しいムーブメ...,/projects/oresamafes,「俺ふぇす。」...,音楽,FUNDED!,32,554000,終了13年12月24日"
"超人気電子マンガ「マジカル☆ドリーマーズ」博多弁版制作プロジェクト,/projects/iam_MDPJ_hakata,株式会社 ＩＡＭ,本,FUNDED!,3,30000,終了14年04月01日"
"LIGHTMANによる、早大大隈講堂プロジェクションマッピング,/projects/wasedauni_ookumapping,LIGHTMAN,アート,NOT FUNDED!"
"川から日本を見てみよう！「静脈列島」シリーズ第５弾『柳川静脈』製作プロジェクト,/projects/joumyaku,野田真外,映画,FUNDED!,87,774080,終了13年12月23日"
"女子大生アイドル日本一決定戦「UNIDOL」をご支援お願いします！！,/projects/unidol,UNIDOL実...,演劇・ダンス,FUNDED!,29,101200,終了13年12月17日"
"子育て情報の循環と母親たちの「はじめの一歩」を応援,/projects/johonojunkan,一般財団法人 ...,コミュニティ,FUNDED!,2,15000,終了14年03月15日"
"愛知初、国産紅茶の小規模加工所で、人と自然がいつまでも共生できる額田へ！,/projects/kokusankocha,一般財団法人 ...,コミュニティ,FUNDED!,9,27499,終了14年03月15日"
"生きづらさを訴える子どもや若者たちの交流・居場所づくり,/projects/ibashodukuri,一般財団法人 ...,コミュニティ,FUNDED!,8,36000,終了14年03月15日"
"誰もが自立・社会参加プロジェクト ちくさから新しい就労訓練プログラム確立への挑戦,/projects/sankaproject,一般財団法人 ...,コミュニティ,FUNDED!,1,3000,終了14年03月15日"
"「働くことをあきらめかけている人」の中間的就労の場づくり事業,/projects/chukantekishurou,一般財団法人 ...,コミュニティ,FUNDED!,2,10000,終了14年03月15日"
"ダブルリミテッドを生まないための漢字カード教材普及事業,/projects/kanjicard,一般財団法人 ...,コミュニティ,FUNDED!,8,26000,終了14年03月15日"
"劇作家サラ・ケイン幻の作品を上演！クレンズドプロジェクト真冬の倉庫のアートイベントに...,/projects/cleansedproject,クレンズドプロ...,演劇・ダンス,FUNDED!,24,120000,終了13年12月17日"
"フリンジオンデマンドによる「珠光の庵」滋賀公演,/projects/jukoushiga,Junko U...,演劇・ダンス,FUNDED!,14,80000,終了14年01月16日"
"ここから世界へ、不器用な男たちの夢　映画「こいからっさ！」,/projects/unstoppablefilm,Unstopp...,映画,FUNDED!,9,195000,終了14年03月16日"
"運命の2月28日、三浦綾子氏の名作塩狩峠の舞台で俳優水澤心吾氏の芝居塩狩峠を体感,/projects/shiokari,Toshiyu...,パフォーマンス,NOT FUNDED!"
"福島警戒区域の現実を後世に伝える！ドキュメンタリー映画『飯舘村の動物たち』(仮)製作...,/projects/zone,北田直俊,映画,FUNDED!,13,189000,終了14年04月09日"
"福島県浜通り（南相馬市）にある映画館「朝日座」をめぐる観客たちの九十年の物語。映画『...,/projects/asahiza,藤井 光,映画,FUNDED!,78,1112000,終了13年12月14日"
